index,ques,ans
1,What is the capital of Norway?,Oslo
2,Who wrote the novel "Pride and Prejudice"?,"Jane Austen"
3,What is the largest desert in North America?,"Great Basin Desert"
4,Who discovered the theory of gravity?,"Isaac Newton"
5,What is the currency of South Africa?,"South African rand"
6,Who painted the "Mona Lisa"?,"Leonardo da Vinci"
7,What is the longest river in Europe?,"Volga River"
8,Who wrote the novel "The Road"?,"Cormac McCarthy"
9,What is the chemical symbol for copper?,"Cu"
10,Which planet is known as the "Blue Planet"?,"Earth"
11,Who invented the telephone?,"Alexander Graham Bell"
12,What is the largest city in Canada?,"Toronto"
13,Who discovered the principles of genetics?,"Gregor Mendel"
14,What is the capital of Portugal?,"Lisbon"
15,Who wrote the novel "Beloved"?,"Toni Morrison"
16,What is the chemical symbol for nickel?,"Ni"
17,What is the deepest lake in North America?,"Crater Lake"
18,Who was the first person to orbit the Earth?,"Yuri Gagarin"
19,What is the capital of Vietnam?,"Hanoi"
20,Who wrote the play "The Crucible"?,"Arthur Miller"
21,What is the chemical symbol for aluminum?,"Al"
22,Who discovered the structure of the atom?,"Ernest Rutherford"
23,What is the largest glacier in Europe?,"Vatnajökull (Iceland)"
24,Who discovered penicillin?,"Alexander Fleming"
25,What is the capital of Finland?,"Helsinki"
26,Who wrote the novel "The Great Gatsby"?,"F. Scott Fitzgerald"
27,What is the chemical symbol for iodine?,"I"
28,Which bird is the fastest animal on Earth?,"Peregrine falcon"
29,Who discovered the planet Saturn's rings?,"Giovanni Domenico Cassini"
30,What is the largest bay in South America?,"Bay of São Marcos"
31,Who wrote the novel "The Catcher in the Rye"?,"J.D. Salinger"
32,What is the chemical symbol for silver?,"Ag"
33,Who developed the first effective smallpox vaccine?,"Edward Jenner"
34,What is the deepest canyon in North America?,"Hells Canyon (USA)"
35,Who was the first woman to fly solo across the Atlantic Ocean?,"Amelia Earhart"
36,What is the capital of South Korea?,"Seoul"
37,Who wrote the novel "One Hundred Years of Solitude"?,"Gabriel García Márquez"
38,What is the chemical symbol for boron?,"B"
39,What is the largest glacier in Asia?,"Siachen Glacier"
40,Who discovered the laws of motion?,"Isaac Newton"
41,What is the capital of Malaysia?,"Kuala Lumpur"
42,Who wrote the novel "Jane Eyre"?,"Charlotte Brontë"
43,What is the chemical symbol for mercury?,"Hg"
44,Which is the largest bay in Australia?,"Spencer Gulf"
45,Who discovered insulin?,"Frederick Banting and Charles Best"
46,What is the capital of Greece?,"Athens"
47,Who wrote the novel "War and Peace"?,"Leo Tolstoy"
48,What is the chemical symbol for tin?,"Sn"
49,Who discovered the planet Neptune?,"John Couch Adams and Urbain Le Verrier"
50,What is the largest bay in Europe?,"Bay of Biscay"
51,Who is known as the ""Father of Modern Chemistry""?,"Antoine Lavoisier"
52,What is the national flower of England?,"Rose"
53,Who wrote the novel "1984"?,"George Orwell"
54,What is the chemical symbol for zinc?,"Zn"
55,What is the deepest lake in Asia?,"Lake Baikal"
56,Who discovered the principles of vaccination?,"Edward Jenner"
57,What is the capital of Argentina?,"Buenos Aires"
58,Who wrote the novel "Middlemarch"?,"George Eliot"
59,What is the chemical symbol for sulfur?,"S"
60,Who discovered the planet Uranus?,"William Herschel"
61,What is the longest railway in the world?,"Trans-Siberian Railway"
62,Who was the first European explorer to reach India by sea?,"Vasco da Gama"
63,What is the capital of Peru?,"Lima"
64,Who wrote the novel "Anna Karenina"?,"Leo Tolstoy"
65,What is the chemical symbol for neon?,"Ne"
